"Time (s)","Illuminance (lx)"
2.003729750E1,4.227100000E4
2.007722918E1,4.294400000E4
2.011716977E1,4.337200000E4
2.015709883E1,4.424700000E4
2.019705227E1,4.310400000E4
2.023701372E1,4.540600000E4
2.027696794E1,4.689700000E4
2.031691762E1,4.865000000E4
2.035686262E1,5.121100000E4
2.039679833E1,5.163000000E4
2.043675129E1,5.329500000E4
2.047669297E1,5.276600000E4
2.051663395E1,5.425200000E4
2.055658102E1,5.545300000E4
2.059653055E1,5.669400000E4
2.063646926E1,5.780200000E4
2.067640645E1,5.754300000E4
2.071634977E1,5.803600000E4
2.079625801E1,5.743000000E4
2.083620047E1,5.603300000E4
2.087613876E1,5.802600000E4
2.091609383E1,5.658100000E4
2.095604879E1,5.338800000E4
2.099601122E1,5.106100000E4
2.103598782E1,4.578300000E4
2.115590735E1,4.448600000E4
2.119586309E1,4.423600000E4
2.123581411E1,4.273300000E4
2.131568864E1,4.318000000E4
2.135564126E1,4.298700000E4
2.139558731E1,4.321400000E4
2.143554110E1,4.647900000E4
2.147549700E1,4.673200000E4
2.151545102E1,4.706800000E4
2.155541016E1,4.483400000E4
2.159535442E1,4.512100000E4
2.163529547E1,4.475200000E4
2.167523294E1,4.476600000E4
2.171518708E1,4.423900000E4
2.175514938E1,4.362300000E4
2.179510868E1,4.330800000E4
2.183507161E1,4.119400000E4
2.187502110E1,4.153700000E4
2.191496805E1,4.020600000E4
2.195490047E1,4.043700000E4
2.199484126E1,4.042100000E4
2.203479680E1,4.035400000E4
2.207475723E1,4.017600000E4
2.211470340E1,4.036100000E4
2.219457274E1,4.061400000E4
2.223451837E1,3.931000000E4
2.231439700E1,3.909500000E4
2.235434063E1,3.925900000E4
2.239428708E1,4.020000000E4
2.243421727E1,4.096700000E4
2.251411036E1,4.199400000E4
2.255405180E1,4.300700000E4
2.259399454E1,4.323700000E4
2.263393047E1,4.397000000E4
2.267387501E1,4.312800000E4
2.271382133E1,4.384900000E4
2.275375790E1,4.367800000E4
2.279368497E1,4.362900000E4
2.283363383E1,4.272600000E4
2.287356727E1,4.443600000E4
2.291349782E1,4.151900000E4
2.295343829E1,3.689600000E4
2.299337872E1,3.474200000E4
2.303331161E1,3.130800000E4
2.307326739E1,3.168100000E4
2.311322379E1,3.195500000E4
2.315319129E1,3.412200000E4
2.319315141E1,3.681600000E4
2.323310907E1,4.021500000E4
2.327306836E1,3.956800000E4
